,,,,,,,,
,,견적서,,,,,,2026. 4. 8
,,,,,,,,
,,,,,,,,
견 적 명,2026년 X+AI·SW 융합 프로젝트,,,,,상호,데이콘 주식회사,
수 신,강원대학교 SW중심대학사업단,,,,,등록번호,699-81-01021,
참 조,양지연 책임연구원,,,,,대표이사,김 국 진,
지급조건,"선금50%, 잔금 50%",,,,,사업장,"서울시 영등포구 은행로 3, 901호",
유효기간,2026. 5. 8,,,,,업태,서비스업,
견적번호,46120A,,,,,종목,인터넷 정보 서비스업,
,,,,,,전화번호,010-4293-1041,
,,,,,,,,
,,,,,,,,
,,,,,,,,
일금,"98,868,588",,원정(VAT 포함),,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
구분,구분,항목,,단가,수량(식/명),기간(개월/일/시간),비용(VAT별도),비고
경진대회,DAKER 플랫폼 비용(예선/본선) ,"AI 서비스 개발 대회 플랫폼 2식 사용료 (예선, 본선)",,"50,000,000",2식,3,"50,000,000",
,,"디자인 3식(온라인 배너, 온라인 포스터) ",,,,,,
,,"문제 설계(산식, 난이도, 목표, 형식, 참가자 범위등)",,,,,,
,,플랫폼 설정 지원 및 교육,,,,,,
,,예시 산출물 설계 및 제작,,,,,,
,,"명세 (규칙, 참가동의) 개발 및 제출/저장 테스트",,,,,,
,,대회 문의 등 CS 관리(주중 24시간/주말 48시간 이내),,,,,,
,,"팀관리 시스템(등록, 삭제, 병합, 운영)",,,,,,
,,"평가 시스템(피어 평가, 참가자, 심사위원, ELO)",,,,,,
,,"참가자 관리 (개인 및 팀 병합, 커뮤니케이션, 부정차단)",,,,,,
,,"리더보드(평가산식,스코어,모니터링,치팅) 관리 및 운영 ",,,,,,
,,수상 및 탈락 결과 커뮤니케이션,,,,,,
,,오프라인 심사 평가 오프라인 참여 1명,,,,,,
,플랫폼 비용 합계,,,,,,"50,000,000",
,직접비,운영인력,경진대회 운영전담 PM,"1,500,000",1,1,"1,500,000",
,,멘토링,온라인 멘토링 (65팀(4명)×월2회×3개월),"50,000",65,6,"19,500,000",
,,중간점검,멘토 서면/구두 피드백 (65팀×1시간),"40,000",65,1,"2,600,000",
,,예선 심사위원,"예선 평가 (65팀, 팀당 10분)","150,000",6명,8,"7,200,000",
,,본선 심사위원,본선 발표평가 (11팀),"150,000",5명,5,"3,750,000",
,,다과,"커피, 디저트류 등의 간단 다과","8,000",100명,1,"800,000",
,,연사특강,외부 연사 초청 강연 (1시간),"500,000",1명,1,"500,000",
,연구활동비,제작물 디자인,디자이너 인건비,"300,000",1식,1,"300,000",
,,제작물 출력,"시상보드, 현수막, X배너, 명찰 등","500,000",1식,1,"500,000",
,,운임비,"운반, 배송 등","100,000",1식,1,"100,000",
,직접비 및 연구활동비 합계 (A),,,,,,"36,750,000",
,안전관리비 (B),A x 1~1.21%,,,,1%,"367,500",
,일반관리비 (C),A x 5% 이내,,,,3%,"918,750",
,기업이윤 (D),(A+C) x 10% 이내,,,,2%,"753,375",
,소계 (E),A+B+C+D,,,,,"38,789,625",
,상금,"11개팀 (대상 1팀 200만, 최우수 2팀 100만, 우수 3팀 50만, 장려 5팀 30만)",,"7,000,000",1식,1,"7,000,000",
,,프로젝트 참여 독려를 위한 기프티콘,,"20,000",250명,1,"5,000,000",
,총계,,,,,,"100,789,625",
,,,,,,,,
,할인,,,,"12,000,000",,,
,합계(VAT 포함),,,,"98,868,588",,,
,,,,,,,,
특기 사항,"1. 멘토링: 멘토 5명 × 팀당 10팀 = 50팀, 월 2회 × 3개월 = 팀당 6회, 1회 1시간, 시간당 15만원                                                                
2. 중간점검: 멘토가 팀별 1시간 피드백 제공 (50팀 × 1h × 15만원)                                                                
3. 예선 심사: 50팀 × 팀당 10분 ≈ 총 8시간, 심사위원 5명 × 8h × 20만원                                                                
4. 본선 심사: 11팀 발표평가, 심사위원 5명 × 5h × 20만원   
5. 심사위원 단가는 시간당 15~20만원 범위로 산정                                                          
6. 본선 제반비용(현수막, 시상보드, X배너 등)은 예상 단가로, 업무 범위 변동 시 추후 조정 필요
7. 본선 평가에는 2명의 운영인력이 배정됨 (추가 인원 필요 시 협의 가능)                                                                ",,,,,,,
